mondo_id,icd10_code,icd10_label
MONDO_0004658,ICD10CM:D05,Carcinoma in situ of breast
MONDO_0004975,ICD10CM:G30,Alzheimer's disease
MONDO_0004975,ICD10WHO:G30,Alzheimer disease
MONDO_0004979,ICD10CM:J45,Asthma
MONDO_0004979,ICD10WHO:J45,Asthma
MONDO_0005011,ICD10CM:K50,Crohn's disease [regional enteritis]
MONDO_0005083,ICD10CM:L40,Psoriasis
MONDO_0005083,ICD10WHO:L40,Psoriasis
MONDO_0005090,ICD10CM:F20,Schizophrenia
MONDO_0005090,ICD10WHO:F20,Schizophrenia
MONDO_0005101,ICD10CM:K51,Ulcerative colitis
MONDO_0005101,ICD10WHO:K51,Ulcerative colitis
MONDO_0005147,ICD10CM:E10,Type 1 diabetes mellitus
MONDO_0005147,ICD10WHO:E10,Type 1 diabetes mellitus
MONDO_0005148,ICD10CM:E11,Type 2 diabetes mellitus
MONDO_0005148,ICD10WHO:E11,Type 2 diabetes mellitus
MONDO_0005180,ICD10CM:G20,Parkinson's disease
MONDO_0005180,ICD10WHO:G20,Parkinson disease
MONDO_0005298,ICD10CM:M81,Osteoporosis without current pathological fracture
MONDO_0005300,ICD10CM:N18,Chronic kidney disease (CKD)
MONDO_0005300,ICD10CM:N18.9,"Chronic kidney disease, unspecified"
MONDO_0005300,ICD10WHO:N18,Chronic kidney disease
MONDO_0005301,ICD10CM:G35,Multiple sclerosis
MONDO_0005301,ICD10WHO:G35,Multiple sclerosis
MONDO_0006270,ICD10CM:D05.0,Lobular carcinoma in situ of breast
MONDO_0007254,ICD10CM:C50,Malignant neoplasm of breast
MONDO_0007915,ICD10CM:M32,Systemic lupus erythematosus (SLE)
MONDO_0007915,ICD10WHO:M32,Systemic lupus erythematosus
MONDO_0008170,ICD10CM:C56,Malignant neoplasm of ovary
MONDO_0008315,ICD10CM:C61,Malignant neoplasm of prostate
MONDO_0018874,ICD10CM:C92.0,Acute myeloblastic leukemia
