source,target,type,weight,evidence
EFO_0009443,MONDO_0004989,is_a,,
EFO_0009649,MONDO_0004989,is_a,,
EFO_0009782,MONDO_0004989,is_a,,
EFO_0022984,MONDO_0007254,is_a,,
MONDO_0000552,MONDO_0004988,is_a,,
MONDO_0000616,MONDO_0006116,is_a,,
MONDO_0000618,MONDO_0006116,is_a,,
MONDO_0002486,MONDO_0004658,is_a,,
MONDO_0002489,MONDO_0007254,is_a,,
MONDO_0002490,MONDO_0007254,is_a,,
MONDO_0002648,MONDO_0004988,is_a,,
MONDO_0002671,MONDO_0006256,is_a,,
MONDO_0002671,MONDO_0004988,is_a,,
MONDO_0002975,MONDO_0005105,is_a,,
MONDO_0002975,MONDO_0007254,is_a,,
MONDO_0003024,MONDO_0002490,is_a,,
MONDO_0003087,MONDO_0004988,is_a,,
MONDO_0003087,MONDO_0006256,is_a,,
MONDO_0003185,MONDO_0004988,is_a,,
MONDO_0003185,MONDO_0006256,is_a,,
MONDO_0003371,MONDO_0002490,is_a,,
MONDO_0003532,MONDO_0005590,is_a,,
MONDO_0003548,MONDO_0006056,is_a,,
MONDO_0003624,MONDO_0004953,is_a,,
MONDO_0003635,MONDO_0004988,is_a,,
MONDO_0003635,MONDO_0006256,is_a,,
MONDO_0003661,MONDO_0007254,is_a,,
MONDO_0003728,MONDO_0002490,is_a,,
MONDO_0003934,MONDO_0005590,is_a,,
MONDO_0003936,MONDO_0004953,is_a,,
MONDO_0003959,MONDO_0006256,is_a,,
MONDO_0003982,MONDO_0004989,is_a,,
MONDO_0003990,MONDO_0006256,is_a,,
MONDO_0004379,MONDO_0004989,is_a,,
MONDO_0004658,MONDO_0004989,is_a,,
MONDO_0004953,MONDO_0006256,is_a,,
MONDO_0004953,MONDO_0005590,is_a,,
MONDO_0004984,MONDO_0005494,is_a,,
MONDO_0004984,MONDO_0004953,is_a,,
MONDO_0004988,MONDO_0004989,is_a,,
MONDO_0004989,MONDO_0007254,is_a,,
MONDO_0004990,MONDO_0006116,is_a,,
MONDO_0005023,MONDO_0004658,is_a,,
MONDO_0005023,MONDO_0005590,is_a,,
MONDO_0005050,MONDO_0006306,is_a,,
MONDO_0005050,MONDO_0004953,is_a,,
MONDO_0005051,MONDO_0006256,is_a,,
MONDO_0005051,MONDO_0000552,is_a,,
MONDO_0005063,MONDO_0004953,is_a,,
MONDO_0005494,MONDO_0000618,is_a,,
MONDO_0005494,MONDO_0000616,is_a,,
MONDO_0005494,MONDO_0006513,is_a,,
MONDO_0005590,MONDO_0004988,is_a,,
MONDO_0005628,MONDO_0004989,is_a,,
MONDO_0006043,MONDO_0006256,is_a,,
MONDO_0006050,MONDO_0004953,is_a,,
MONDO_0006056,MONDO_0006043,is_a,,
MONDO_0006098,MONDO_0002486,is_a,,
MONDO_0006116,MONDO_0004989,is_a,,
MONDO_0006117,MONDO_0003661,is_a,,
MONDO_0006184,MONDO_0004658,is_a,,
MONDO_0006244,MONDO_0006116,is_a,,
MONDO_0006256,MONDO_0004989,is_a,,
MONDO_0006270,MONDO_0002486,is_a,,
MONDO_0006270,MONDO_0004988,is_a,,
MONDO_0006306,MONDO_0004988,is_a,,
MONDO_0006324,MONDO_0006116,is_a,,
MONDO_0006512,MONDO_0006116,is_a,,
MONDO_0006513,MONDO_0006116,is_a,,
MONDO_0006739,MONDO_0004989,is_a,,
MONDO_0006804,MONDO_0006256,is_a,,
MONDO_0006804,MONDO_0004988,is_a,,
MONDO_0016419,MONDO_0004989,is_a,,
MONDO_0021115,MONDO_0004990,is_a,,
MONDO_0021116,MONDO_0004990,is_a,,
MONDO_0045059,MONDO_0004989,is_a,,
MONDO_0045060,MONDO_0005023,is_a,,
MONDO_0045060,MONDO_0045059,is_a,,
Orphanet_145,Orphanet_227535,is_a,,
Orphanet_145,MONDO_0008170,is_a,,
Orphanet_227535,MONDO_0004989,is_a,,
ENSG00000106633,MONDO_0005148,associated_with,0.8588,1212
ENSG00000187486,MONDO_0005148,associated_with,0.8586,1232
ENSG00000006071,MONDO_0005148,associated_with,0.8566,1459
ENSG00000119772,MONDO_0018874,associated_with,0.8562,2650
ENSG00000132170,MONDO_0005148,associated_with,0.8537,3233
ENSG00000139618,MONDO_0007254,associated_with,0.8401,8529
ENSG00000245848,MONDO_0018874,associated_with,0.8396,2719
ENSG00000012048,MONDO_0007254,associated_with,0.8355,14730
ENSG00000122025,MONDO_0018874,associated_with,0.8354,8470
ENSG00000012048,Orphanet_145,associated_with,0.8271,8860
ENSG00000157764,MONDO_0005105,associated_with,0.8195,13475
ENSG00000183765,MONDO_0007254,associated_with,0.8167,1632
ENSG00000012048,MONDO_0008170,associated_with,0.8112,7602
ENSG00000142192,MONDO_0004975,associated_with,0.8058,27930
ENSG00000108384,Orphanet_145,associated_with,0.8045,157
ENSG00000139618,MONDO_0004989,associated_with,0.8026,7362
ENSG00000083093,MONDO_0007254,associated_with,0.7996,1506
ENSG00000169083,MONDO_0008315,associated_with,0.7993,14245
ENSG00000113302,MONDO_0005083,associated_with,0.7947,354
ENSG00000147889,MONDO_0005105,associated_with,0.7913,2189
ENSG00000076242,MONDO_0005575,associated_with,0.7883,1275
ENSG00000116062,MONDO_0005575,associated_with,0.7877,496
ENSG00000139618,Orphanet_145,associated_with,0.7849,14620
ENSG00000139618,MONDO_0008170,associated_with,0.7848,4037
ENSG00000213689,MONDO_0007915,associated_with,0.7801,285
ENSG00000138413,MONDO_0018874,associated_with,0.7798,2564
ENSG00000130203,MONDO_0005010,associated_with,0.7758,1326
ENSG00000135100,MONDO_0005148,associated_with,0.7755,851
