source,target,datatype,weight,evidence
ENSG00000103460,EFO_0009443,genetic_association,0.5338,1
ENSG00000120262,EFO_0009443,genetic_association,0.4225,1
ENSG00000012048,EFO_0009649,genetic_association,0.5282,5
ENSG00000039068,EFO_0009649,genetic_association,0.1947,1
ENSG00000072571,EFO_0009649,genetic_association,0.1947,1
ENSG00000083093,EFO_0009649,genetic_association,0.8494,9
ENSG00000083093,EFO_0009649,genetic_literature,0.9072,6
ENSG00000095015,EFO_0009649,genetic_literature,0.3041,1
ENSG00000099949,EFO_0009649,genetic_literature,0.3041,1
ENSG00000118046,EFO_0009649,genetic_association,0.1947,1
ENSG00000126214,EFO_0009649,genetic_association,0.3041,1
ENSG00000126215,EFO_0009649,genetic_association,0.3041,1
ENSG00000134982,EFO_0009649,genetic_association,0.3041,1
ENSG00000138376,EFO_0009649,genetic_association,0.6357,2
ENSG00000138376,EFO_0009649,genetic_literature,0.73,3
ENSG00000139618,EFO_0009649,genetic_association,0.6481,10
ENSG00000148795,EFO_0009649,genetic_association,0.3041,1
ENSG00000149311,EFO_0009649,genetic_association,0.8883,19
ENSG00000149311,EFO_0009649,genetic_literature,0.7604,2
ENSG00000164053,EFO_0009649,genetic_literature,0.3041,1
ENSG00000166323,EFO_0009649,genetic_association,0.8613,10
ENSG00000167085,EFO_0009649,genetic_association,0.3041,1
ENSG00000171862,EFO_0009649,genetic_association,0.1947,1
ENSG00000183765,EFO_0009649,genetic_association,0.8401,8
ENSG00000183765,EFO_0009649,genetic_literature,0.7604,2
ENSG00000185379,EFO_0009649,genetic_association,0.1947,1
ENSG00000091831,EFO_0009782,known_drug,0.1217,1
ENSG00000153823,EFO_0009782,genetic_association,0.1385,1
ENSG00000169083,EFO_0009782,known_drug,0.1217,1
ENSG00000187720,EFO_0009782,genetic_association,0.4658,1
ENSG00000187957,EFO_0009782,genetic_association,0.434,1
ENSG00000012048,EFO_0022984,genetic_association,0.5475,1
ENSG00000012048,EFO_0022984,literature,0.0365,1
ENSG00000083093,EFO_0022984,genetic_association,0.1825,1
ENSG00000116062,EFO_0022984,genetic_association,0.1825,1
ENSG00000117118,EFO_0022984,genetic_association,0.1825,1
ENSG00000127616,EFO_0022984,genetic_association,0.1825,1
ENSG00000138081,EFO_0022984,genetic_association,0.1825,1
ENSG00000139618,EFO_0022984,genetic_association,0.5475,1
ENSG00000258839,EFO_0022984,genetic_association,0.1825,1
ENSG00000039068,MONDO_0000552,literature,0.719,248
ENSG00000039068,MONDO_0000552,somatic_mutation,0.5961,2
ENSG00000055609,MONDO_0000552,somatic_mutation,0.6083,1
ENSG00000065559,MONDO_0000552,somatic_mutation,0.6083,1
ENSG00000067955,MONDO_0000552,literature,0.0182,1
ENSG00000067955,MONDO_0000552,somatic_mutation,0.6083,1
ENSG00000077782,MONDO_0000552,literature,0.2159,4
ENSG00000077782,MONDO_0000552,somatic_mutation,0.4562,1
ENSG00000091831,MONDO_0000552,literature,0.5874,122
ENSG00000091831,MONDO_0000552,somatic_mutation,0.6083,1
ENSG00000095015,MONDO_0000552,literature,0.038,2
ENSG00000095015,MONDO_0000552,somatic_mutation,0.6083,1
ENSG00000120217,MONDO_0000552,literature,0.2664,5
ENSG00000120217,MONDO_0000552,somatic_mutation,0.4562,1
ENSG00000121879,MONDO_0000552,literature,0.0903,15
ENSG00000121879,MONDO_0000552,somatic_mutation,0.6083,1
ENSG00000129514,MONDO_0000552,literature,0.035,2
ENSG00000129514,MONDO_0000552,somatic_mutation,0.6083,1
ENSG00000135111,MONDO_0000552,literature,0.0122,1
ENSG00000135111,MONDO_0000552,somatic_mutation,0.6083,1
ENSG00000136754,MONDO_0000552,somatic_mutation,0.6083,1
ENSG00000136997,MONDO_0000552,literature,0.2083,4
ENSG00000136997,MONDO_0000552,somatic_mutation,0.4562,1
ENSG00000141027,MONDO_0000552,somatic_mutation,0.6083,1
ENSG00000141510,MONDO_0000552,literature,0.1683,24
ENSG00000141510,MONDO_0000552,somatic_mutation,0.4562,1
ENSG00000141736,MONDO_0000552,literature,0.4204,164
ENSG00000141736,MONDO_0000552,somatic_mutation,0.6083,1
ENSG00000142208,MONDO_0000552,literature,0.0806,4
ENSG00000142208,MONDO_0000552,somatic_mutation,0.6083,1
ENSG00000142611,MONDO_0000552,somatic_mutation,0.6083,1
ENSG00000143252,MONDO_0000552,literature,0.0304,1
ENSG00000143252,MONDO_0000552,somatic_mutation,0.6083,1
ENSG00000144218,MONDO_0000552,somatic_mutation,0.6083,1
ENSG00000145012,MONDO_0000552,somatic_mutation,0.6083,1
ENSG00000147257,MONDO_0000552,literature,0.0122,1
ENSG00000147257,MONDO_0000552,somatic_mutation,0.6083,1
ENSG00000147655,MONDO_0000552,somatic_mutation,0.6083,1
ENSG00000157168,MONDO_0000552,somatic_mutation,0.6083,1
ENSG00000167258,MONDO_0000552,literature,0.0928,2
ENSG00000167258,MONDO_0000552,somatic_mutation,0.4562,1
ENSG00000171735,MONDO_0000552,somatic_mutation,0.6083,1
ENSG00000171862,MONDO_0000552,literature,0.1722,7
ENSG00000171862,MONDO_0000552,somatic_mutation,0.4562,1
ENSG00000189283,MONDO_0000552,somatic_mutation,0.6083,1
ENSG00000214827,MONDO_0000552,somatic_mutation,0.6083,1
ENSG00000286522,MONDO_0000552,somatic_mutation,0.6083,1
ENSG00000146648,MONDO_0000616,known_drug,0.1217,1
ENSG00000066468,MONDO_0000618,genetic_association,0.5425,1
ENSG00000083307,MONDO_0000618,genetic_association,0.3437,1
ENSG00000087494,MONDO_0000618,genetic_association,0.3844,1
ENSG00000091831,MONDO_0000618,genetic_association,0.5648,3
ENSG00000095015,MONDO_0000618,genetic_association,0.2305,1
ENSG00000100154,MONDO_0000618,genetic_association,0.4157,1
ENSG00000103460,MONDO_0000618,genetic_association,0.549,1
ENSG00000110092,MONDO_0000618,genetic_association,0.2671,1
ENSG00000118245,MONDO_0000618,genetic_association,0.3266,1
ENSG00000120262,MONDO_0000618,genetic_association,0.1076,3
ENSG00000138311,MONDO_0000618,genetic_association,0.19,1
ENSG00000153823,MONDO_0000618,genetic_association,0.1385,1
ENSG00000163491,MONDO_0000618,genetic_association,0.4536,1
ENSG00000187720,MONDO_0000618,genetic_association,0.4658,1
ENSG00000187957,MONDO_0000618,genetic_association,0.434,1
ENSG00000198901,MONDO_0000618,genetic_association,0.2994,1
ENSG00000212993,MONDO_0000618,genetic_association,0.4028,1
ENSG00000010610,MONDO_0002486,literature,0.8845,127
ENSG00000100292,MONDO_0002486,literature,0.6754,13
ENSG00000102524,MONDO_0002486,literature,0.7696,81
ENSG00000105369,MONDO_0002486,literature,0.7428,54
ENSG00000106804,MONDO_0002486,literature,0.8051,18
ENSG00000108691,MONDO_0002486,literature,0.8033,156
ENSG00000112115,MONDO_0002486,literature,0.7914,100
ENSG00000115457,MONDO_0002486,literature,0.6643,9
ENSG00000116044,MONDO_0002486,literature,0.7179,17
ENSG00000118785,MONDO_0002486,literature,0.7348,32
ENSG00000125571,MONDO_0002486,literature,0.741,13
ENSG00000125730,MONDO_0002486,literature,0.7816,345
ENSG00000131981,MONDO_0002486,literature,0.6648,6
ENSG00000132693,MONDO_0002486,literature,0.6809,67
ENSG00000135218,MONDO_0002486,literature,0.667,6
ENSG00000136634,MONDO_0002486,literature,0.7415,48
ENSG00000137965,MONDO_0002486,literature,0.6783,10
ENSG00000138755,MONDO_0002486,literature,0.6588,4
ENSG00000150782,MONDO_0002486,literature,0.7705,52
ENSG00000153563,MONDO_0002486,literature,0.8407,80
ENSG00000156234,MONDO_0002486,literature,0.8053,24
ENSG00000163565,MONDO_0002486,literature,0.6671,6
ENSG00000169245,MONDO_0002486,literature,0.8844,39
ENSG00000170017,MONDO_0002486,literature,0.7737,30
ENSG00000172349,MONDO_0002486,literature,0.6527,11
ENSG00000177575,MONDO_0002486,literature,0.8795,56
ENSG00000189403,MONDO_0002486,literature,0.7081,42
ENSG00000196126,MONDO_0002486,literature,0.7876,13
ENSG00000197405,MONDO_0002486,literature,0.7837,13
ENSG00000244731,MONDO_0002486,literature,0.7099,186
ENSG00000134250,MONDO_0002490,somatic_mutation,0.3041,1
ENSG00000028137,MONDO_0003024,literature,0.6083,1
ENSG00000067182,MONDO_0003024,literature,0.6083,1
ENSG00000105664,MONDO_0003024,literature,0.6142,3
ENSG00000108691,MONDO_0003024,literature,0.6742,16
ENSG00000111424,MONDO_0003024,literature,0.5502,3
ENSG00000112115,MONDO_0003024,literature,0.5202,35
ENSG00000112715,MONDO_0003024,literature,0.7221,29
ENSG00000115380,MONDO_0003024,literature,0.5449,12
ENSG00000118785,MONDO_0003024,literature,0.6,23
ENSG00000124256,MONDO_0003024,literature,0.59,1
ENSG00000136869,MONDO_0003024,literature,0.6174,11
ENSG00000136960,MONDO_0003024,literature,0.7878,9
ENSG00000137033,MONDO_0003024,literature,0.848,22
ENSG00000137462,MONDO_0003024,literature,0.5678,4
ENSG00000137673,MONDO_0003024,literature,0.9398,93
ENSG00000147257,MONDO_0003024,literature,0.5339,3
ENSG00000148700,MONDO_0003024,literature,0.8174,33
ENSG00000153563,MONDO_0003024,literature,0.7307,47
ENSG00000162772,MONDO_0003024,literature,0.6083,1
ENSG00000162896,MONDO_0003024,literature,0.6704,4
ENSG00000164736,MONDO_0003024,literature,0.6992,9
ENSG00000168610,MONDO_0003024,literature,0.6428,6
ENSG00000169429,MONDO_0003024,literature,0.7048,47
ENSG00000170458,MONDO_0003024,literature,0.6204,16
ENSG00000181092,MONDO_0003024,literature,0.5598,4
ENSG00000189403,MONDO_0003024,literature,0.7925,9
ENSG00000197635,MONDO_0003024,literature,0.6113,2
ENSG00000232810,MONDO_0003024,literature,0.5209,56
ENSG00000234741,MONDO_0003024,literature,0.6083,1
ENSG00000240498,MONDO_0003024,literature,0.6083,1
ENSG00000005339,MONDO_0003185,literature,0.0304,1
ENSG00000005339,MONDO_0003185,somatic_mutation,0.4562,1
ENSG00000055609,MONDO_0003185,somatic_mutation,0.4562,1
ENSG00000077782,MONDO_0003185,somatic_mutation,0.4562,1
ENSG00000097007,MONDO_0003185,somatic_mutation,0.4562,1
ENSG00000100393,MONDO_0003185,somatic_mutation,0.4562,1
ENSG00000101972,MONDO_0003185,somatic_mutation,0.4562,1
ENSG00000115904,MONDO_0003185,somatic_mutation,0.4562,1
ENSG00000118513,MONDO_0003185,literature,0.2181,8
ENSG00000118513,MONDO_0003185,somatic_mutation,0.6083,1
ENSG00000121879,MONDO_0003185,literature,0.0122,1
ENSG00000121879,MONDO_0003185,somatic_mutation,0.4562,1
ENSG00000136352,MONDO_0003185,somatic_mutation,0.4562,1
ENSG00000137193,MONDO_0003185,somatic_mutation,0.3041,1
ENSG00000137812,MONDO_0003185,somatic_mutation,0.3041,1
ENSG00000139083,MONDO_0003185,somatic_mutation,0.3041,1
ENSG00000139718,MONDO_0003185,somatic_mutation,0.3041,1
ENSG00000141510,MONDO_0003185,literature,0.0652,3
ENSG00000141510,MONDO_0003185,somatic_mutation,0.3041,1
ENSG00000141736,MONDO_0003185,literature,0.0122,1
ENSG00000141736,MONDO_0003185,somatic_mutation,0.4562,1
ENSG00000145715,MONDO_0003185,somatic_mutation,0.4562,1
ENSG00000147050,MONDO_0003185,somatic_mutation,0.4562,1
ENSG00000147862,MONDO_0003185,literature,0.0951,4
ENSG00000147862,MONDO_0003185,somatic_mutation,0.4562,1
ENSG00000148400,MONDO_0003185,literature,0.0608,1
ENSG00000148400,MONDO_0003185,somatic_mutation,0.4562,1
ENSG00000152217,MONDO_0003185,somatic_mutation,0.3041,1
ENSG00000157168,MONDO_0003185,somatic_mutation,0.3041,1
ENSG00000157764,MONDO_0003185,literature,0.1049,2
