id,type,name,extra
EFO_0009443,disease,BRCAX breast cancer,OTAR_0000017; MONDO_0045024
EFO_0009649,disease,susceptibility to breast cancer,OTAR_0000017; MONDO_0045024
EFO_0009782,disease,progesterone-receptor positive breast cancer,OTAR_0000017; MONDO_0045024
EFO_0022984,disease,bilateral breast cancer,OTAR_0000017; MONDO_0045024
MONDO_0000552,disease,breast lobular carcinoma,MONDO_0002051; MONDO_0045024; OTAR_0000017
MONDO_0000616,disease,progesterone-receptor negative breast cancer,OTAR_0000017; MONDO_0045024
MONDO_0000618,disease,Her2-receptor negative breast cancer,OTAR_0000017; MONDO_0045024
MONDO_0002486,disease,lobular neoplasia,MONDO_0045024; OTAR_0000017
MONDO_0002489,disease,malignant breast phyllodes tumor,OTAR_0000017; MONDO_0045024
MONDO_0002490,disease,breast sarcoma,OTAR_0000017; MONDO_0045024
MONDO_0002648,disease,mammary Paget disease,MONDO_0002051; MONDO_0045024; OTAR_0000017
MONDO_0002671,disease,signet ring cell breast carcinoma,MONDO_0002051; OTAR_0000017; MONDO_0045024
MONDO_0002975,disease,malignant breast melanoma,OTAR_0000017; MONDO_0045024
MONDO_0003024,disease,breast angiosarcoma,MONDO_0004995; OTAR_0000017; MONDO_0045024
MONDO_0003087,disease,mucoepidermoid breast carcinoma,MONDO_0002051; MONDO_0045024; OTAR_0000017
MONDO_0003185,disease,adenoid cystic breast carcinoma,MONDO_0002051; MONDO_0045024; OTAR_0000017
MONDO_0003371,disease,breast leiomyosarcoma,OTAR_0000017; OTAR_0000006; MONDO_0005550; MONDO_0045024
MONDO_0003532,disease,breast papillary carcinoma,MONDO_0002051; MONDO_0045024; OTAR_0000017
MONDO_0003548,disease,adenosquamous breast carcinoma,MONDO_0045024; OTAR_0000017
MONDO_0003624,disease,acinic cell breast carcinoma,MONDO_0002051; OTAR_0000017; MONDO_0045024
MONDO_0003635,disease,sebaceous breast carcinoma,MONDO_0002051; MONDO_0045024; OTAR_0000017
MONDO_0003661,disease,breast lymphoma,OTAR_0000017; MONDO_0005570; MONDO_0045024
MONDO_0003728,disease,breast fibrosarcoma,OTAR_0000017; OTAR_0000006; MONDO_0045024
MONDO_0003934,disease,breast apocrine carcinoma,MONDO_0002051; MONDO_0045024; OTAR_0000017
MONDO_0003936,disease,invasive tubular breast carcinoma,MONDO_0002051; OTAR_0000017; MONDO_0045024
MONDO_0003959,disease,breast large cell neuroendocrine carcinoma,MONDO_0005151; OTAR_0000017; MONDO_0045024
MONDO_0003982,disease,bilateral breast carcinoma,OTAR_0000017; MONDO_0045024
MONDO_0003990,disease,malignant breast myoepithelioma,OTAR_0000017; MONDO_0045024
MONDO_0004379,disease,female breast carcinoma,OTAR_0000017; MONDO_0045024
MONDO_0004658,disease,breast carcinoma in situ,MONDO_0045024; OTAR_0000017
MONDO_0004950,disease,gastric carcinoma,EFO_0010282; MONDO_0045024
MONDO_0004953,disease,invasive ductal breast carcinoma,MONDO_0002051; OTAR_0000017; MONDO_0045024
MONDO_0004975,disease,Alzheimer disease,MONDO_0002025; MONDO_0005071; EFO_0000651
MONDO_0004979,disease,asthma,EFO_0000651; OTAR_0000010
MONDO_0004984,disease,basal-like breast carcinoma,MONDO_0002051; OTAR_0000017; MONDO_0045024
MONDO_0004988,disease,breast adenocarcinoma,MONDO_0002051; MONDO_0045024; OTAR_0000017
MONDO_0004989,disease,breast carcinoma,OTAR_0000017; MONDO_0045024
MONDO_0004990,disease,breast tumor luminal A or B,OTAR_0000017; MONDO_0045024
MONDO_0005010,disease,coronary artery disorder,MONDO_0004995
MONDO_0005011,disease,Crohn disease,MONDO_0005046; OTAR_0000018; EFO_0010282
MONDO_0005023,disease,ductal breast carcinoma in situ,MONDO_0045024; MONDO_0002051; OTAR_0000017
MONDO_0005050,disease,invasive ductal and lobular carcinoma,MONDO_0002051; MONDO_0045024; OTAR_0000017
MONDO_0005051,disease,invasive lobular breast carcinoma,MONDO_0002051; OTAR_0000017; MONDO_0045024
MONDO_0005061,disease,lung adenocarcinoma,MONDO_0045024; OTAR_0000010
MONDO_0005063,disease,medullary breast carcinoma,MONDO_0002051; OTAR_0000017; MONDO_0045024
MONDO_0005083,disease,psoriasis,MONDO_0005046; MONDO_0002051; OTAR_0000018
MONDO_0005090,disease,schizophrenia,MONDO_0002025; MONDO_0005071
MONDO_0005101,disease,ulcerative colitis,MONDO_0005046; OTAR_0000018; EFO_0010282
MONDO_0005105,disease,melanoma,MONDO_0045024
MONDO_0005147,disease,type 1 diabetes mellitus,MONDO_0005151; MONDO_0005046; EFO_0010282; EFO_0000651; OTAR_0000020
MONDO_0005148,disease,type 2 diabetes mellitus,EFO_0000651; OTAR_0000020; MONDO_0005151; EFO_0010282
MONDO_0005180,disease,Parkinson disease,MONDO_0005071; OTAR_0000018
MONDO_0005184,disease,pancreatic ductal adenocarcinoma,EFO_0010282; MONDO_0045024; MONDO_0005151
MONDO_0005298,disease,osteoporosis,OTAR_0000006; OTAR_0000018; EFO_0000651
MONDO_0005300,disease,chronic kidney disease,MONDO_0002118
MONDO_0005301,disease,multiple sclerosis,MONDO_0005071; MONDO_0005046
MONDO_0005494,disease,triple-negative breast carcinoma,OTAR_0000017; MONDO_0045024
MONDO_0005575,disease,colorectal cancer,EFO_0010282; MONDO_0045024
MONDO_0005590,disease,breast ductal adenocarcinoma,MONDO_0002051; MONDO_0045024; OTAR_0000017
MONDO_0005628,disease,male breast carcinoma,OTAR_0000017; MONDO_0045024
MONDO_0006043,disease,metaplastic breast carcinoma,OTAR_0000017; MONDO_0045024
MONDO_0006050,disease,pleomorphic breast carcinoma,MONDO_0002051; OTAR_0000017; MONDO_0045024
MONDO_0006056,disease,squamous cell breast carcinoma,MONDO_0045024; OTAR_0000017
MONDO_0006098,disease,atypical lobular breast hyperplasia,MONDO_0045024; MONDO_0002051; OTAR_0000017
MONDO_0006116,disease,breast carcinoma by gene expression profile,OTAR_0000017; MONDO_0045024
MONDO_0006117,disease,breast diffuse large B-cell lymphoma,MONDO_0005046; MONDO_0002051; OTAR_0000017; MONDO_0005570; MONDO_0045024
MONDO_0006184,disease,ductal breast carcinoma in situ and lobular carcinoma in situ,MONDO_0045024; OTAR_0000017
MONDO_0006244,disease,HER2 positive breast carcinoma,OTAR_0000017; MONDO_0045024
MONDO_0006256,disease,invasive breast carcinoma,OTAR_0000017; MONDO_0045024
MONDO_0006270,disease,lobular breast carcinoma in situ,MONDO_0002051; MONDO_0045024; OTAR_0000017
MONDO_0006306,disease,mixed lobular and ductal breast carcinoma,MONDO_0002051; MONDO_0045024; OTAR_0000017
MONDO_0006324,disease,normal breast-like subtype of breast carcinoma,OTAR_0000017; MONDO_0045024
MONDO_0006512,disease,estrogen-receptor positive breast cancer,OTAR_0000017; MONDO_0045024
MONDO_0006513,disease,estrogen-receptor negative breast cancer,OTAR_0000017; MONDO_0045024
MONDO_0006739,disease,Ehrlich tumor carcinoma,OTAR_0000017; MONDO_0045024
MONDO_0006804,disease,inflammatory breast carcinoma,MONDO_0002051; OTAR_0000017; MONDO_0045024
MONDO_0007254,disease,breast cancer,OTAR_0000017; MONDO_0045024
MONDO_0007915,disease,systemic lupus erythematosus,MONDO_0005046; MONDO_0002118; OTAR_0000006; EFO_0000651
MONDO_0008170,disease,ovarian cancer,MONDO_0005151; OTAR_0000017; MONDO_0045024
MONDO_0008315,disease,prostate cancer,OTAR_0000017; MONDO_0045024
MONDO_0008383,disease,rheumatoid arthritis,OTAR_0000006; MONDO_0005046; EFO_0000651
MONDO_0016419,disease,hereditary breast carcinoma,OTAR_0000018; OTAR_0000017; MONDO_0045024
MONDO_0018177,disease,glioblastoma,MONDO_0005071; MONDO_0045024
MONDO_0018874,disease,acute myeloid leukemia,MONDO_0005570; MONDO_0005046; MONDO_0045024; OTAR_0000006
MONDO_0021115,disease,luminal B breast carcinoma,OTAR_0000017; MONDO_0045024
MONDO_0021116,disease,luminal A breast carcinoma,OTAR_0000017; MONDO_0045024
MONDO_0045059,disease,cribriform carcinoma of breast,OTAR_0000017; MONDO_0045024
MONDO_0045060,disease,intraductal cribriform breast adenocarcinoma,MONDO_0045024; MONDO_0002051; OTAR_0000017
Orphanet_145,disease,Hereditary breast and ovarian cancer syndrome,OTAR_0000018; OTAR_0000017; MONDO_0045024; MONDO_0005151
Orphanet_227535,disease,Hereditary breast cancer,OTAR_0000018; OTAR_0000017; MONDO_0045024
ENSG00000002745,gene,WNT16,Wnt family member 16
ENSG00000004779,gene,NDUFAB1,NADH:ubiquinone oxidoreductase subunit AB1
ENSG00000004948,gene,CALCR,calcitonin receptor
ENSG00000005339,gene,CREBBP,CREB binding lysine acetyltransferase 
ENSG00000006071,gene,ABCC8,ATP binding cassette subfamily C member 8
ENSG00000006468,gene,ETV1,ETS variant transcription factor 1
ENSG00000007312,gene,CD79B,CD79b molecule
