,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8,Factor9,Factor10,split
TCGA-AQ-A1H2,1.9026888608932495,2.4921648502349854,1.9208935499191284,-3.3479511737823486,-4.100236892700195,1.010780930519104,-3.1481735706329346,-1.1007702350616455,-2.0792672634124756,-1.3371107578277588,train
TCGA-A1-A0SF,1.0605484247207642,1.746492624282837,0.34741929173469543,1.2243380546569824,2.153383731842041,-0.6595596075057983,-0.3452727496623993,1.1820536851882935,-1.338539719581604,0.153273344039917,train
TCGA-AR-A255,0.7410913608074763,0.7151599358851036,-0.7296405961379797,1.0695698876419952,-0.14692257304755718,-0.6968666974721783,-0.5464544392359528,-0.009447786972978526,0.23346555328299598,-0.4609033960581627,test
TCGA-E2-A1BD,2.617778778076172,2.2039859294891357,2.2554726600646973,-0.8406878113746643,-3.1780495643615723,-1.0672128200531006,2.4383859634399414,1.5802679061889648,-0.4206355810165405,0.9187188744544983,train
TCGA-A2-A0YI,-0.052229635417461395,2.582329273223877,0.694502592086792,0.6032382249832153,3.286874771118164,-0.0679786205291748,0.8864519596099854,0.6149601340293884,0.7039691209793091,-0.7083033919334412,train
TCGA-BH-A0W5,-1.166914463043213,1.4572473764419556,0.6518199443817139,1.003227949142456,4.146196365356445,-0.5145968198776245,0.8535832762718201,0.569717288017273,0.4166288375854492,0.1457446664571762,train
TCGA-E9-A1N3,-2.2369863986968994,3.1783695220947266,2.3424744606018066,-0.8982782363891602,-1.5148484706878662,2.482417106628418,-3.1847994327545166,-1.4614567756652832,-0.4279768466949463,0.12797608971595764,train
TCGA-C8-A1HI,-0.2660057544708252,1.253592610359192,0.4622143805027008,0.25506940484046936,0.6197662949562073,0.5512391924858093,-0.3319658041000366,1.3591828346252441,0.2532482147216797,2.3477885723114014,train
TCGA-BH-A1FL,1.897850513458252,2.2859396934509277,-0.39468157291412354,-0.21943233907222748,-0.6011812686920166,-0.6647394895553589,-0.741322934627533,-0.2818320691585541,-2.600672721862793,1.3311060667037964,train
TCGA-E9-A1RI,-0.2854030132293701,2.290358543395996,0.14529955387115479,-0.4777565896511078,0.9070523381233215,0.20849397778511047,0.8777652382850647,0.6615134477615356,-0.34150293469429016,1.3897770643234253,train
TCGA-PE-A5DD,4.352138519287109,1.8278390169143677,0.9595984816551208,-0.2566651403903961,0.6938923001289368,-0.8725626468658447,3.043363571166992,-0.11047287285327911,0.3342774212360382,-0.8906341195106506,train
TCGA-D8-A27G,1.919413530209771,0.6961330407631968,-0.9750957181935357,0.216503087747732,0.8301830289404738,-0.8335330729311626,1.1999720329686447,-0.22656692847318446,0.2165694520765875,-0.1944671733101552,test
TCGA-D8-A1XA,1.1626954899369193,1.8830766033682576,0.041399159043875575,-0.7027697134847104,-0.9462893257739694,0.7700722823995957,-1.383483403460211,-0.572482263733797,-0.3083730089302574,-0.2114538182368514,test
TCGA-BH-A0AZ,-0.475602924823761,1.6159104108810425,-0.86953204870224,4.7414164543151855,-1.3023693561553955,0.24936789274215698,-1.6076023578643799,2.252042531967163,0.3246515691280365,0.08251985162496567,train
TCGA-E9-A245,-2.283726692199707,2.6911113262176514,-2.8965389728546143,-0.2732539176940918,-1.2304238080978394,2.8398494720458984,-2.6210286617279053,0.029382040724158287,-0.14683328568935394,0.36126962304115295,train
TCGA-BH-A1FH,-3.9043357372283936,0.9055201411247253,-3.7807891368865967,3.3412630558013916,0.31126850843429565,0.18166936933994293,1.7021383047103882,0.979867160320282,0.633826494216919,-0.42903560400009155,train
TCGA-EW-A1IX,-1.845709204673767,2.608140707015991,-4.747811317443848,0.6294736862182617,-0.04685709625482559,-0.4612705707550049,-2.2166013717651367,0.10984115302562714,0.24291536211967468,0.13964322209358215,train
TCGA-E9-A1N4,-1.7938448190689087,1.9745641946792603,0.18196551501750946,-0.607626736164093,-0.20321768522262573,-0.1420813351869583,-3.1299126148223877,-0.8524855375289917,-0.5229004621505737,-0.9058659672737122,train
TCGA-B6-A0RO,0.7500452995300293,1.9492323398590088,0.6302352547645569,-0.4721266031265259,-3.888859987258911,-0.9229953289031982,-1.6765096187591553,1.5229190587997437,0.8105531930923462,0.5596892237663269,train
TCGA-A7-A0CH,-2.9249637126922607,0.8030792474746704,1.9776434898376465,6.578201770782471,0.9605216383934021,-1.0993539094924927,1.701810359954834,-0.227382093667984,0.5311756134033203,-0.8869173526763916,train
TCGA-BH-A0BM,-3.7552239894866943,1.4375091791152954,-0.001911512459628284,3.9341881275177,-0.5987864136695862,-1.258114218711853,1.8768694400787354,1.074090600013733,0.4304945468902588,-1.0230222940444946,train
TCGA-EW-A2FV,0.45325303077697754,0.3112430274486542,0.19499889016151428,0.8375694751739502,1.7227023839950562,-0.24901065230369568,-2.263418436050415,0.4456309676170349,0.7323442101478577,-0.3232816755771637,train
TCGA-BH-A1EY,-3.188628911972046,1.143406867980957,-3.542963743209839,-1.2970644235610962,-1.1798313856124878,-1.9045661687850952,1.6563060283660889,-0.8799184560775757,0.7933796048164368,-0.883323073387146,train
TCGA-MS-A51U,-1.1004189252853394,1.957675814628601,1.3133606910705566,2.171657085418701,1.1949578523635864,-0.21814267337322235,-0.7023657560348511,1.6815495491027832,-0.8587449789047241,-0.3211004137992859,train
TCGA-C8-A1HE,1.4968067407608032,3.2650821208953857,-0.009660412557423115,-1.0464218854904175,-1.0510684251785278,-0.3207824230194092,2.968082904815674,0.576656699180603,-1.504715919494629,1.2523767948150635,train
TCGA-E2-A10B,1.2142857313156128,2.3960490226745605,2.149836778640747,-0.7867084741592407,-1.2040809392929077,0.4026342034339905,-0.06924199312925339,0.018777361139655113,0.5135697722434998,-0.33261948823928833,train
TCGA-AO-A12B,-0.2800321302065946,3.1216844854076817,1.5588065346128406,-2.625852643221238,-2.5178547119437873,1.8016881185856992,-1.078502567639113,-0.9348468730325533,-1.2899328981057607,-0.7571344208833378,test
TCGA-AN-A0XP,0.6122381389618311,2.5126682593476306,1.0336173332390393,-1.3111445151928136,-2.5100174417475993,-0.5580790055151739,-1.0923263953051079,-0.011610816096099088,-1.556449468793166,-0.3076519318077086,test
TCGA-HN-A2OB,0.4059523900745347,1.8250240624300993,-0.9195202481003436,2.636725553291867,-0.9016711518666328,-0.16017262964709353,0.9369060753407323,0.9179807713509814,-0.8357897645265416,0.12923153846065233,test
TCGA-A7-A3IZ,2.2696131162750426,3.3085908491624316,0.7921072223113121,-0.6850129704262894,-2.412520435816441,1.4928189138104713,-0.17932931456504583,-0.1639937863486004,-1.1701432705827042,-0.18469223525177245,test
TCGA-AR-A252,-0.860013484954834,0.5082275867462158,0.31774377822875977,1.7195358276367188,5.030045509338379,1.0646978616714478,0.6639359593391418,-1.074275016784668,0.3415314555168152,-0.6183795928955078,train
TCGA-BH-A1F5,-2.2826099395751953,2.489287853240967,2.4321482181549072,-1.55100417137146,-1.162668228149414,0.05365390703082085,0.8987513780593872,0.5018056631088257,0.5296421051025391,0.2365700751543045,train
TCGA-AR-A24T,2.0348622798919678,1.5352137088775635,-2.3005318641662598,0.6476013660430908,-0.4109637141227722,0.7056756615638733,2.9279985427856445,0.7076559662818909,0.44984400272369385,-0.4441418945789337,train
TCGA-S3-A6ZH,1.8183302879333496,1.5935518741607666,1.8362360000610352,-1.4651051759719849,-0.15373313426971436,1.4174983501434326,-3.529461145401001,0.34570980072021484,-1.1365166902542114,0.12288500368595123,train
TCGA-A2-A0YC,1.546262264251709,2.7023582458496094,-4.5283050537109375,-0.924774169921875,-0.41402730345726013,0.35418805480003357,-1.946231484413147,-0.8356640338897705,0.8483754396438599,-0.3476143181324005,train
TCGA-EW-A1J2,-0.2815500980896229,1.6915982402017498,-1.5698892955257244,1.7256944189521304,-0.9271103707412087,-0.15979313868652498,0.054359402305266306,0.781806969953275,-0.7608312736506943,0.1785413519034141,test
TCGA-LD-A74U,0.7984922528266907,0.9404951930046082,-1.1993061304092407,2.419828176498413,-1.3525363206863403,-1.188119649887085,2.2344508171081543,1.1973047256469727,0.05954080447554588,-0.8109736442565918,train
TCGA-D8-A1JH,-1.2879137992858887,2.511199474334717,0.6173787713050842,1.0445690155029297,0.4006366431713104,-0.1786380559206009,1.5193766355514526,0.27824661135673523,0.268217533826828,0.7235103845596313,train
TCGA-E9-A1RC,2.939974069595337,-0.40565943717956543,-1.1402169466018677,6.715022087097168,-3.3903648853302,0.6374465823173523,3.1157660484313965,-5.763055801391602,-0.5654103755950928,1.709032416343689,train
TCGA-E9-A1R3,-2.040327787399292,1.630299687385559,0.1949480175971985,-1.5277987718582153,-1.777342438697815,-0.6296940445899963,-2.2589755058288574,0.23891666531562805,-1.8007400035858154,0.6121662855148315,train
TCGA-BH-A0AY,-3.457475185394287,0.6050665974617004,-2.3431477546691895,6.653111457824707,0.9151919484138489,0.4510534703731537,1.9949560165405273,0.3444148302078247,0.8221710324287415,-0.7491981983184814,train
TCGA-BH-A1FE,-0.046642523258924484,-0.203327938914299,-0.69551682472229,5.518482685089111,-0.1827501654624939,0.2423679381608963,0.0016673640348017216,0.7882948517799377,-0.2751717269420624,0.11020808666944504,train
TCGA-GM-A2DC,2.509575843811035,2.0058984756469727,-0.42382270097732544,-1.4173436164855957,-0.7075872421264648,2.67134952545166,-0.6643801331520081,-0.6207764744758606,1.2262301445007324,0.1850346475839615,train
TCGA-BH-A0BA,1.025298913887955,1.4896341938470083,-0.38023239859700436,1.681389390540515,0.24904087431916588,-1.2932513275086575,-0.7172623660845968,0.9535190018338245,1.1571805582362702,-0.053844829813274465,test
TCGA-D8-A1JS,-0.05985256539414665,3.819537032429787,1.715018653582084,-2.296118604637415,-3.8995685500396484,0.38803056225527843,-1.1843145890966271,0.20739425491739913,-1.626836840480525,-0.0010522474517215736,test
TCGA-BH-A0DH,3.7873775959014893,1.0464969873428345,0.6967689990997314,6.705294132232666,-0.7318494915962219,0.663350522518158,-1.8754875659942627,1.0473147630691528,0.7326681017875671,-2.0888383388519287,train
TCGA-BH-A28Q,1.1857905387878418,2.793578863143921,-0.20450977981090546,-0.43316885828971863,-0.49895286560058594,-0.01255385484546423,1.7334338426589966,0.05939788371324539,-1.9274277687072754,0.986528217792511,train
TCGA-AR-A2LJ,-1.1753897666931152,1.5963270664215088,-1.819226622581482,2.019916534423828,1.5214660167694092,0.043406400829553604,2.1652095317840576,0.5377097725868225,-0.014547288417816162,0.4025781452655792,train
TCGA-E2-A15J,1.8325634002685547,2.835453510284424,1.5697321891784668,-3.200812816619873,-4.892581462860107,-0.4259115159511566,2.120790719985962,-0.4022638201713562,-2.6093549728393555,-0.1790628433227539,train
TCGA-AR-A24O,-1.1842988729476929,2.002922534942627,-0.05400535464286804,2.9601492881774902,0.39840880036354065,-0.6365864276885986,-1.451345682144165,-0.003235633485019207,-0.3647053837776184,-0.05275588482618332,train
TCGA-EW-A1PE,-0.4898479265880398,2.1147983799215253,0.6317562051564742,-1.0777998185795112,1.842361722662069,-0.6481895529107373,-0.9116612974745961,0.06077755320866013,-0.6833742986331903,-5.1991547005668846e-05,test
TCGA-BH-A0DG,0.16443081873364518,1.05608774141926,-0.041842843646151075,2.7277701433640735,0.16509286748274835,0.983968917447454,0.8026058780914234,0.20420915317480545,0.6392111752548068,0.19575501975542597,test
TCGA-A7-A3J1,-0.0020927265286445618,2.211130142211914,0.0340653695166111,1.3761816024780273,1.551828145980835,-0.6200430989265442,-0.2336135059595108,-0.3512951731681824,-1.6640769243240356,-0.5977509617805481,train
TCGA-D8-A1XD,0.5885552763938904,1.6510072946548462,1.8424838781356812,-1.3135725259780884,-1.0685157775878906,1.986886978149414,0.18156352639198303,0.572151243686676,0.7845578193664551,3.034086227416992,train
TCGA-AR-A1AK,0.3757876455783844,1.877936840057373,1.1476496458053589,1.367207646369934,-0.2699270248413086,1.0542192459106445,1.7398107051849365,0.5311983823776245,-0.5854328274726868,-0.22651781141757965,train
TCGA-BH-A0HP,1.1758943796157837,1.8870145082473755,0.653275191783905,1.5184824466705322,-0.8484798669815063,-1.1245472431182861,0.8791606426239014,1.3505266904830933,-0.7568238973617554,0.12974286079406738,train
TCGA-EW-A1PA,1.5082650184631348,1.3052095174789429,-1.4266221523284912,-0.40191107988357544,2.4477808475494385,2.111900568008423,0.754412055015564,0.14917078614234924,0.5804820656776428,0.7207023501396179,train
TCGA-4H-AAAK,-0.14719048142433167,1.697502613067627,1.2706763744354248,0.1563909649848938,-0.12982915341854095,-0.08293967694044113,-0.24513985216617584,1.273297905921936,-0.7963528633117676,1.4544508457183838,train
TCGA-AO-A0JC,-0.5701694632751064,0.9572262657975802,0.21111570838657304,0.03023321832793228,4.959178329150135,0.6706485171390361,0.8183981922498854,-0.5871637273761435,0.003902298904592575,-1.0860665002016754,test
